,Title,Skills,Level,Link
10,Google Advanced Data Analytics," Data Storytelling, Data Visualization, A/B Testing, Sampling (Statistics), Data Analysis, Exploratory Data Analysis, Regression Analysis, Data Visualization Software, Data Presentation, Data Ethics, Feature Engineering, Statistical Hypothesis Testing, Analytics, Statistical Analysis, Data Science, Tableau Software, Machine Learning, Object Oriented Programming (OOP), Web Presence, Python Programming",Advanced,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
11,AI Fundamentals," Prompt Patterns, Responsible AI, AI powered creativity, AI Enablement, AI literacy, Google Gemini, Artificial Intelligence, AI Workflows, LLM Application, AI Personalization, Generative AI, Google Workspace, Data Literacy, Data Synthesis",Beginner,https://www.coursera.org/learn/google-ai-fundamentals
12,IBM Generative AI Engineering," Prompt Engineering, Prompt Patterns, Data Wrangling, Large Language Modeling, LangChain, Retrieval-Augmented Generation, Exploratory Data Analysis, Unsupervised Learning, Generative Model Architectures, PyTorch (Machine Learning Library), ChatGPT, Generative AI, Restful API, LLM Application, Keras (Neural Network Library), Supervised Learning, Responsible AI, Vector Databases, Fine-tuning, Python Programming",Beginner,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
13,IBM Data Analyst," Data Storytelling, Dashboard Creation, Data Presentation, Data Wrangling, Generative AI, Plotly, Data Visualization Software, Web Scraping, Data Visualization, Exploratory Data Analysis, SQL, Plot (Graphics), Dashboard, Interactive Data Visualization, Data Analysis, Professional Networking, IBM Cognos Analytics, Excel Formulas, Python Programming, Microsoft Excel",Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst
14,Google IT Automation with Python," Git (Version Control System), GitHub, Version Control, Infrastructure as Code (IaC), Debugging, Cloud Management, Bash (Scripting Language), Test Automation, Puppet (Configuration Management Tool), Infrastructure As A Service (IaaS), Technical Communication, Web Services, Email Automation, Web Presence, Automation, Python Programming, Interviewing Skills, Configuration Management, Program Development, Programming Principles",Advanced,https://www.coursera.org/professional-certificates/google-it-automation
15,IBM AI Developer," Prompt Engineering, Systems Development Life Cycle, Prompt Patterns, Software Development Life Cycle, Retrieval-Augmented Generation, Large Language Modeling, Software Architecture, Computer Vision, LangChain, Restful API, Responsive Web Design, Generative AI, Responsible AI, IBM Cloud, Data Ethics, AI Workflows, Python Programming, Software Development, Machine Learning, Data Science",Beginner,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
16,IBM Data Science," Data Storytelling, Dashboard Creation, Dashboard, Data Presentation, Data Wrangling, Plotly, Data Visualization Software, Web Scraping, Data Visualization, Exploratory Data Analysis, SQL, Plot (Graphics), Unsupervised Learning, Interactive Data Visualization, Jupyter, Model Evaluation, Data Literacy, Generative AI, Professional Networking, Python Programming",Beginner,https://www.coursera.org/professional-certificates/ibm-data-science
17,AI in Healthcare," Feature Engineering, Healthcare Ethics, Pharmaceuticals, Data Ethics, Clinical Research, Clinical Data Management, Health Systems, Healthcare Industry Knowledge, Medical Records, Machine Learning Methods, Unstructured Data, Model Deployment, Health Informatics, Data Mining, Managed Care, Model Evaluation, Health Care, Responsible AI, Machine Learning, Artificial Intelligence",Beginner,https://www.coursera.org/specializations/ai-healthcare
18,Google Business Intelligence," Data Modeling, Stakeholder Engagement, Database Design, Dashboard, Business Intelligence, Business Intelligence Software, Extract, Transform, Load, Dashboard Creation, Tableau Software, Databases, Data Warehousing, Stakeholder Communications, Data Visualization, Web Presence, Interviewing Skills, Business Process, Business Analysis, Professional Development, Data Analysis, SQL",Advanced,https://www.coursera.org/professional-certificates/google-business-intelligence
19,Google Prompting Essentials," Data Visualization, Prompt Engineering Tools, Prompt Patterns, AI powered creativity, Graphing, Context Engineering, AI literacy, AI Personalization, Generative AI, Timelines, LLM Application, Ideation, Artificial Intelligence, Business Correspondence, Complex Problem Solving, Report Writing, Solution Design, Document Management, Critical Thinking, Machine Learning",Beginner,https://www.coursera.org/specializations/prompting-essentials-google
20,IBM AI Product Manager," Prompt Engineering, Prompt Patterns, AI Product Strategy, Generative AI, New Product Development, Product Management, Product Lifecycle Management, Generative Model Architectures, Product Development, Innovation, ChatGPT, Product Roadmaps, Product Planning, Responsible AI, Commercialization, Generative Adversarial Networks (GANs), Artificial Intelligence, Product Strategy, Project Management Life Cycle, Product Design",Beginner,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
21,Deep Learning," Convolutional Neural Networks, Recurrent Neural Networks (RNNs), Computer Vision, Transfer Learning, Deep Learning, Image Analysis, Model Optimization, Hugging Face, Natural Language Processing, Artificial Neural Networks, Artificial Intelligence and Machine Learning (AI/ML), Tensorflow, Applied Machine Learning, Model Training, Fine-tuning, Generative AI, Embeddings, Supervised Learning, Large Language Modeling, Artificial Intelligence",Intermediate,https://www.coursera.org/specializations/deep-learning
22,Microsoft Power BI Data Analyst," Dashboard Creation, Power BI, Microsoft Excel, Data Analysis, Data Integrity, Data Visualization, Data Storage, Microsoft Power Platform, Data Collection, Data Quality, Business Intelligence, Business Analytics, Advanced Analytics, Generative AI, Data Analysis Software, Statistical Reporting, Analytical Skills, Data Integration, Model Optimization, SQL",Beginner,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
23,AI for Brainstorming and Planning," AI Enablement, AI literacy, AI Workflows, Google Gemini, Generative AI, Artificial Intelligence, AI Personalization, Google Workspace, Responsible AI",Beginner,https://www.coursera.org/learn/google-ai-for-brainstorming-and-planning
24,Foundations of Project Management," Project Management Life Cycle, Change Management, Project Management, Organizational Change, Organizational Structure, Generative AI Agents, Program Management, Project Planning, Strategic Thinking",Beginner,https://www.coursera.org/learn/project-management-foundations
25,AI Foundations for Everyone," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Responsible AI, Generative Model Architectures, IBM Cloud, AI Workflows, LLM Application, Workflow Management, AI literacy, No-Code Development, Machine Learning Software, Natural Language Processing, Business Workflow Analysis, Artificial Intelligence, Application Deployment, Machine Learning, Deep Learning, Data Science",Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone
26,Data Science Foundations," Dashboard Creation, Dashboard, Web Scraping, Pseudocode, Jupyter, Algorithms, Data Literacy, Data Mining, Data Analysis, R (Software), Data Presentation, Correlation Analysis, Pandas (Python Package), NumPy, Predictive Modeling, Python Programming, Machine Learning Algorithms, Data Science, Machine Learning, Project Management",Beginner,https://www.coursera.org/specializations/data-science-foundations
27,IBM Data Analytics with Excel and R," Data Storytelling, Data Wrangling, Exploratory Data Analysis, Database Design, Ggplot2, Data Presentation, Data Visualization Software, Data Visualization, Relational Databases, Statistical Visualization, Data Collection, Interactive Data Visualization, Predictive Modeling, Statistical Analysis, Microsoft Excel, Analytical Skills, R (Software), Excel Formulas, Data Cleansing, Data Manipulation",Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
28,Data Analysis and Visualization Foundations," Data Storytelling, Data Wrangling, Data Presentation, Interactive Data Visualization, Data Visualization Software, Dashboard, Big Data, Data Visualization, Microsoft Excel, Data Analysis, IBM Cognos Analytics, Statistical Visualization, Apache Hadoop, Statistical Analysis, Analytical Skills, Dashboard Creation, Excel Formulas, Data Cleansing, Pivot Tables And Charts, Spreadsheet Software",Beginner,https://www.coursera.org/specializations/data-analysis-visualization-foundations
29,Business Foundations," Financial Statements, Operations Management, Customer Analysis, Operations, Operational Efficiency, Financial Statement Analysis, Operational Excellence, Return On Investment, Accrual Accounting, Human Capital, Process Improvement and Optimization, Process Analysis, Branding, Marketing, People Management, Capital Budgeting, Finance, Peer Review, Project Design, Corporate Finance",Beginner,https://www.coursera.org/specializations/wharton-business-foundations
30,"Foundations: Data, Data, Everywhere"," Data Ethics, Data Analysis, Analytics, Data-Driven Decision-Making, Data Literacy, Spreadsheet Software, Analytical Skills, Tableau Software, Data Sharing, Data Cleansing, Data Processing, Data Visualization Software, Data Visualization, SQL, Query Languages",Beginner,https://www.coursera.org/learn/foundations-data
31,Introduction to AI," Generative AI, AI Enablement, Artificial Intelligence and Machine Learning (AI/ML), AI literacy, Model Training, Machine Learning, Innovation, Critical Thinking",Beginner,https://www.coursera.org/learn/google-introduction-to-ai
32,IBM Full Stack Software Developer," Systems Development Life Cycle, Cloud Deployment, Software Development Life Cycle, CI/CD, Server Side, Cloud-Native Computing, Istio, Software Architecture, React Redux, Cloud Computing Architecture, Restful API, Responsive Web Design, Node.JS, Django (Web Framework), Git (Version Control System), HTML and CSS, Cloud Computing, Data Ethics, Python Programming, Software Development",Beginner,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
33,Data Science Fundamentals with Python and SQL," Dashboard Creation, Dashboard, Web Scraping, SQL, Descriptive Statistics, Data Visualization, Statistical Analysis, Jupyter, Data Presentation, Probability Distribution, R (Software), Statistics, Statistical Methods, Data Science, Database Management, Relational Databases, R Programming, Python Programming, NumPy, Data Analysis",Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
34,IBM DevOps and Software Engineering," User Story, Systems Development Life Cycle, Cloud Deployment, CI/CD, Software Development Life Cycle, Open Web Application Security Project (OWASP), Continuous Integration, Istio, Linux Commands, Software Architecture, Test Driven Development (TDD), Cloud Computing Architecture, Devops Tools, Restful API, Git (Version Control System), DevOps, Grafana, Software Engineering, Python Programming, Application Development",Beginner,https://www.coursera.org/professional-certificates/devops-and-software-engineering
35,IBM RAG and Agentic AI," Prompt Engineering, AI Orchestration, AI Workflows, LangChain, Retrieval-Augmented Generation, Agentic Workflows, Tool Calling, LangGraph, LLM Application, Prompt Patterns, Agentic systems, Multimodal Prompts, Model Context Protocol, Generative AI, AI Security, Generative AI Agents, Vector Databases, OpenAI API, AI Integrations, Software Development",Advanced,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai
36,Applied Data Science," Data Storytelling, Dashboard Creation, Dashboard, Data Presentation, Data Wrangling, Plotly, Data Visualization Software, Web Scraping, Data Visualization, Exploratory Data Analysis, Plot (Graphics), Interactive Data Visualization, Data Analysis, Data Import/Export, Model Evaluation, Data Manipulation, Data Science, Python Programming, NumPy, Machine Learning",Beginner,https://www.coursera.org/specializations/applied-data-science
37,IBM Data Engineering," NoSQL, Extract, Transform, Load, Database Administration, Apache Spark, Data Warehousing, Web Scraping, Data Pipelines, Apache Hadoop, Database Architecture and Administration, Database Design, Database Management, Relational Databases, Linux Commands, SQL, IBM Cognos Analytics, Generative AI, Professional Networking, Python Programming, Data Analysis, Data Science",Beginner,https://www.coursera.org/professional-certificates/ibm-data-engineer
38,IBM & Darden Digital Strategy," Data Storytelling, Strategic Thinking, Digital Transformation, Business Strategy, Cloud Computing Architecture, Data Wrangling, Competitive Analysis, Cloud Services, Data Presentation, Cloud Deployment, Business Transformation, Responsible AI, Cloud Technologies, Cloud Security, Cloud Infrastructure, Big Data, Cloud Platforms, Cloud Computing, Generative AI, Data Science",Beginner,https://www.coursera.org/specializations/digital-strategy
39,AI For Business," AI Personalization, Machine Learning Methods, Fraud detection, Generative AI, Responsible AI, Data Ethics, Data Management, Data Strategy, People Analytics, HR Tech, Generative Model Architectures, AI Enablement, Human Resource Management, AI Product Strategy, Data Governance, Human Resources Management and Planning, Personalized Campaigns, Big Data, Machine Learning, Analytics",Beginner,https://www.coursera.org/specializations/ai-for-business-wharton
40,IBM Relational Database Administrator with GenAI," Extract, Transform, Load, Database Administration, Data Warehousing, Web Scraping, Data Pipelines, Database Architecture and Administration, Data Engineering, Database Design, Database Management, Relational Databases, Linux Commands, SQL, Apache Kafka, Bash (Scripting Language), Apache Airflow, Shell Script, IBM DB2, Generative AI, Python Programming, Data Security",Intermediate,https://www.coursera.org/professional-certificates/ibm-relational-database-administrator
41,Generative AI for Everyone," Prompt Engineering, Responsible AI, Generative AI, Large Language Modeling, AI literacy, Data Ethics, AI Enablement, LLM Application, AI Product Strategy, Artificial Intelligence, Retrieval-Augmented Generation, Business Process Automation, Automation, Cloud Applications",Beginner,https://www.coursera.org/learn/generative-ai-for-everyone
42,IBM Back-End Development," Systems Development Life Cycle, Cloud Deployment, Software Development Life Cycle, Open Web Application Security Project (OWASP), Istio, Cloud-Native Computing, Linux Commands, Software Architecture, Application Deployment, Kubernetes, Bash (Scripting Language), Restful API, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Grafana, Microservices, Python Programming",Beginner,https://www.coursera.org/professional-certificates/ibm-backend-development
43,Introduction to Finance and Accounting," Financial Statements, Financial Statement Analysis, Return On Investment, Accrual Accounting, Financial Accounting, Capital Budgeting, Financial Reporting, Accruals, Accounting, Finance, Inventory Accounting, Financial Analysis, Balance Sheet, Financial Acumen, Portfolio Management, Income Statement, Financial Forecasting, Equities, Generally Accepted Accounting Principles (GAAP), Corporate Finance",Beginner,https://www.coursera.org/specializations/finance-accounting
44,Data Engineering Foundations," Extract, Transform, Load, Web Scraping, Database Design, SQL, IBM DB2, Database Management, Data Store, Relational Databases, Database Systems, Data Architecture, Data Pipelines, Databases, Big Data, Data Storage Technologies, Unit Testing, Data Storage, Database Development, Python Programming, NumPy, Data Analysis",Beginner,https://www.coursera.org/specializations/data-engineering-foundations
45,AI for Research and Insights," Google Gemini, AI literacy, Prompt Patterns, AI Enablement, Generative AI, Generative AI Agents, Artificial Intelligence, AI Personalization, AI Workflows, Ideation, Analysis, Responsible AI, Google Workspace",Beginner,https://www.coursera.org/learn/google-ai-for-research-and-insights
46,Applied Software Engineering Fundamentals," Systems Development Life Cycle, Software Development Life Cycle, Linux Commands, Software Architecture, Bash (Scripting Language), Restful API, Shell Script, Git (Version Control System), GitHub, Full-Stack Web Development, Software Design, Flask (Web Framework), Version Control, File Management, Unix Shell, Linux, Application Deployment, Python Programming, NumPy, Data Analysis",Beginner,https://www.coursera.org/specializations/software-engineering-fundamentals
47,Generative AI for Data Scientists," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Exploratory Data Analysis, Generative Adversarial Networks (GANs), Data Ethics, Feature Engineering, AI literacy, Predictive Modeling, Responsible AI, Artificial Intelligence and Machine Learning (AI/ML), Data Science, Data Synthesis, Data Analysis, Data Visualization Software, Augmented and Virtual Reality (AR/VR), Autoencoders, Machine Learning",Intermediate,https://www.coursera.org/specializations/generative-ai-for-data-scientists
48,Generative AI for Java and Spring Developers," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Data Ethics, Generative AI Agents, Model Deployment, Restful API, Software Design Documents, Software Design, AI Integrations, Application Deployment, AI literacy, Software Architecture, Agentic Workflows, Continuous Integration, Artificial Intelligence and Machine Learning (AI/ML), Software Development, Java Programming",Intermediate,https://www.coursera.org/specializations/generative-ai-for-java-and-spring-developers
49,Generative AI for Data Analysts," Prompt Engineering, Prompt Patterns, Generative AI, ChatGPT, Generative Model Architectures, OpenAI, Data Storytelling, Analytics, Prompt Engineering Tools, AI literacy, Dashboard Creation, Data Analysis, Interactive Data Visualization, Data Ethics, Responsible AI, Data Synthesis, Artificial Intelligence and Machine Learning (AI/ML), Python Programming, Augmented and Virtual Reality (AR/VR), Data Processing",Intermediate,https://www.coursera.org/specializations/generative-ai-for-data-analysts
50,Generative AI Fundamentals," Prompt Engineering, Prompt Patterns, Generative AI, Generative Model Architectures, ChatGPT, Generative Adversarial Networks (GANs), Responsible AI, OpenAI, Data Ethics, AI literacy, Large Language Modeling, Leadership and Management, AI Enablement, Business Leadership, Strategic Leadership, Business Ethics, Hugging Face, Legal Risk, Artificial Intelligence and Machine Learning (AI/ML), Deep Learning",Beginner,https://www.coursera.org/specializations/generative-ai-for-everyone
51,Generative AI for Digital Marketing," Prompt Engineering, Responsible AI, Generative Engine Optimization (GEO), Prompt Patterns, ChatGPT, Generative AI, Digital Advertising, Generative Model Architectures, Email Automation, Email Marketing, Content Performance Analysis, Data Ethics, Digital Marketing, Search Engine Optimization, Personalized Campaigns, Marketing Automation, Content Optimization, Digital Marketing Tools, AI Personalization, AI literacy",Beginner,https://www.coursera.org/specializations/generative-ai-for-digital-marketing
52,Financial Markets," Financial Regulations, Investment Banking, Financial Market, Financial Systems, Risk Management, Financial Regulation, Securities (Finance), Portfolio Risk, Financial Management, Financial Services, Financial Industry Regulatory Authorities, Capital Markets, Finance, Equities, Banking, Portfolio Management, Investments, Bank Regulations, Behavioral Economics, Governance",Beginner,https://www.coursera.org/learn/financial-markets-global
53,Generative AI for Mobile App Developers," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Data Ethics, Generative AI Agents, AI Personalization, Mobile Development, AI powered creativity, Software Design Documents, Software Design, Prompt Engineering Tools, Anthropic Claude, Mobile Development Tools, LLM Application, AI literacy, iOS Development, Machine Learning Software, Software Development",Advanced,https://www.coursera.org/specializations/generative-ai-for-mobile-app-developers
54,Generative AI for Software Developers," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Data Ethics, Generative AI Agents, Software Design Documents, Software Design, AI literacy, AI Integrations, Software Architecture, Agentic Workflows, Continuous Integration, Software Development, LLM Application, Artificial Intelligence and Machine Learning (AI/ML), Application Security, Software Engineering, Code Review",Intermediate,https://www.coursera.org/specializations/generative-ai-for-software-developers
55,Generative AI for Product Managers," Prompt Engineering, Prompt Patterns, AI Product Strategy, ChatGPT, Generative AI, Generative Model Architectures, Commercialization, Product Management, AI Enablement, Google Gemini, Product Lifecycle Management, Stakeholder Communications, Technical Product Management, AI literacy, Customer experience improvement, Team Building, Responsible AI, Stakeholder Engagement, Artificial Intelligence, Creativity",Intermediate,https://www.coursera.org/specializations/generative-ai-for-product-managers
56,Generative AI for UI UX Design," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, UI/UX Research, Responsible AI, Persona (User Experience), AI literacy, User Interface and User Experience (UI/UX) Design, Experience Design, Miro AI, Design Software, AI Workflows, Brainstorming, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Large Language Modeling, Human Centered Design, Wireframing",Beginner,https://www.coursera.org/specializations/generative-ai-for-ui-ux-design
57,Generative AI for Business Analysts," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Responsible AI, Business Analysis, Data-Driven Decision-Making, Data Analysis, AI Enablement, AI Integrations, Business Analytics, AI literacy, Data Storytelling, Artificial Intelligence, Business Process Automation, Stakeholder Communications, Artificial Intelligence and Machine Learning (AI/ML), Business Strategy, Augmented and Virtual Reality (AR/VR)",Beginner,https://www.coursera.org/specializations/generative-ai-for-business-analysts
58,Intuit Academy Bookkeeping," Financial Statement Analysis, Bookkeeping, Reconciliation, Financial Statements, Fixed Asset, Inventory Control, Depreciation, Payroll, Asset Management, Financial Analysis, Ledgers (Accounting), Financial Accounting, Financial Reporting, Payroll Administration, Inventory Accounting, Accounting, Balance Sheet, Payment Processing and Collection, Financial Acumen, Payroll Processing",Beginner,https://www.coursera.org/professional-certificates/intuit-bookkeeping
59,Generative AI for Project Managers," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Responsible AI, Generative Model Architectures, Google Gemini, AI literacy, Project Management, LLM Application, AI Enablement, Project Management Life Cycle, Data Ethics, Case Studies, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Project Documentation, Augmented and Virtual Reality (AR/VR), Automation, Machine Learning",Intermediate,https://www.coursera.org/specializations/generative-ai-for-project-managers
60,Generative AI for Human Resources (HR) Professionals," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Responsible AI, HR Tech, Human Resources Software, Human Resources Management and Planning, Human Resources, Workforce Planning, Human Resource Strategy, Data Ethics, LLM Application, AI Enablement, AI literacy, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Augmented and Virtual Reality (AR/VR), Employee Engagement",Intermediate,https://www.coursera.org/specializations/generative-ai-for-human-resources
61,IBM Generative AI for Cybersecurity Professionals," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Cyber Threat Intelligence, Security Information and Event Management (SIEM), AI Security, Threat Modeling, AI literacy, Threat Detection, Cybersecurity, Incident Response, Malware Protection, Exploitation techniques, Artificial Intelligence and Machine Learning (AI/ML), Anomaly Detection, Large Language Modeling, Vulnerability Management, Incident Management",Intermediate,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals
62,Generative AI for Educators," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, AI Personalization, Responsible AI, Data Ethics, Education Software and Technology, AI literacy, LLM Application, Digital pedagogy, Artificial Intelligence and Machine Learning (AI/ML), AI Workflows, AI Integrations, Augmented and Virtual Reality (AR/VR), Ethical Standards And Conduct, Information Privacy, Machine Learning, Data Synthesis",Beginner,https://www.coursera.org/specializations/generative-ai-educators
63,Generative AI for Product Owners," Prompt Engineering, AI Product Strategy, Prompt Patterns, ChatGPT, Responsible AI, Generative AI, Generative Model Architectures, Data Ethics, Risking, Google Gemini, Product Management, AI literacy, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Product Development, Augmented and Virtual Reality (AR/VR), Machine Learning, Data Synthesis, Stakeholder Engagement",Intermediate,https://www.coursera.org/specializations/generative-ai-for-product-owners
64,Generative AI for Sales Professionals," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Sales Development, Sales Strategy, Sales Presentation, Sales Enablement, Sales Training, Sales Pipelines, Sales Management, Personalized Campaigns, AI literacy, Lead Generation, Sales Prospecting, LinkedIn, B2B Sales, AI Personalization, Marketing Collateral",Intermediate,https://www.coursera.org/specializations/generative-ai-for-sales-professionals
65,Generative AI for Growth Marketing," Prompt Patterns, Generative Model Architectures, Personalized Campaigns, Data-Driven Marketing, Strategic Marketing, AI Enablement, AI literacy, Email Automation, Driving engagement, Data Ethics, Customer experience improvement, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Large Language Modeling, Responsible AI, Augmented and Virtual Reality (AR/VR), Content Creation, Machine Learning, Data Synthesis, Image Analysis",Beginner,https://www.coursera.org/specializations/generative-ai-for-growth-marketing
66,Generative AI for IT Systems Analysts and Architects," Prompt Engineering, Process Modeling, Prompt Patterns, Generative AI, Generative Model Architectures, Business Workflow Analysis, Systems Analysis, AI Workflows, AI literacy, Process Optimization, Miro AI, Systems Architecture, Solution Architecture, Software Architecture, Systems Thinking, Responsible AI, Machine Learning, Project Documentation, Stakeholder Communications, Technical Consulting",Beginner,https://www.coursera.org/specializations/generative-ai-it-systems-analysts-and-architects
67,Generative AI for Data Engineers," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Database Design, Data Pipelines, Query Languages, Extract, Transform, Load, Responsible AI, AI literacy, Data Warehousing, Data Ethics, Data Infrastructure, Data Architecture, Data Mining, Data Synthesis, Artificial Intelligence and Machine Learning (AI/ML), Augmented and Virtual Reality (AR/VR), Data Analysis",Intermediate,https://www.coursera.org/specializations/generative-ai-for-data-engineers
68,Generative AI for Business Intelligence (BI) Analysts," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Interactive Data Visualization, Business Intelligence, Business Intelligence Software, Data Presentation, Infographics, Dashboard Creation, AI literacy, Data Ethics, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Large Language Modeling, Responsible AI, LLM Application, Data Analysis, Data Visualization",Intermediate,https://www.coursera.org/specializations/generative-ai-for-business-intelligence-analysts
69,Generative AI for Program Managers," Prompt Engineering, Prompt Patterns, ChatGPT, Generative AI, Generative Model Architectures, Responsible AI, Program Management, Risk Management, Stakeholder Engagement, Project Management Institute (PMI) Methodology, Stakeholder Analysis, Strategic Decision-Making, AI literacy, Decision Intelligence, Stakeholder Management, AI Integrations, Artificial Intelligence and Machine Learning (AI/ML), Augmented and Virtual Reality (AR/VR), Governance, Machine Learning",Intermediate,https://www.coursera.org/specializations/generative-ai-for-program-managers
70,Python for Everybody," Database Design, Data Processing, Debugging, Web Scraping, File I/O, Data Store, Data Visualization, Database Software, Relational Databases, Restful API, Web Services, SQL, Databases, Data Visualization Software, JSON, Data Presentation, Data Structures, Programming Principles, Python Programming, Program Development",Beginner,https://www.coursera.org/specializations/python
