Kategori_Pencarian,Posisi,Perusahaan,Lokasi,Link,Job_Description
data-analyst,Business Analyst Intern,PT Upartners Sukses Bersama,Jakarta Barat,https://id.jobstreet.com/id/job/92166197?type=standard&ref=search-standalone&origin=cardTitle#sol=81944b9f57de69a688e96f3f74e0e3e02a7a6067,"Upartners (Lifestyle & Wellness brand)
is looking for a
Business / Data Analyst Intern
to support strategic and operational decision-making through data, reporting, and business insights. This role is ideal for someone who is analytical, detail-oriented, curious, and excited to work in a fast-paced business environment.
What you’ll do:
• Assist in collecting, cleaning, and analyzing business data from multiple sources
• Support the development of dashboards and reports for operational and management needs
• Help monitor sales, customer, and operational performance metrics
• Conduct market and competitor research to support business initiatives
• Assist in identifying trends, patterns, and actionable insights from data
• Collaborate with cross-functional teams including operations, finance, ecommerce, and marketing
We’re looking for someone who:
• Is a final-year student or fresh graduate in Business, Statistics, Mathematics, Information Systems, Engineering, or related fields
• Has strong analytical thinking and problem-solving skills
• Is comfortable working with spreadsheets and data
• Familiarity with Excel / Google Sheets is required
• Familiarity with SQL, Power BI, Metabase, Tableau, or Python is a plus
• Is detail-oriented, organized, and eager to learn
What you’ll gain:
• Hands-on experience in business analysis and data-driven decision making
• Exposure to real business operations within the lifestyle & wellness industry
• Opportunity to work closely with management and cross-functional teams
• A dynamic, collaborative, and growth-oriented environment
Benefits:
Basic salary, career to full-time opportunity, hybrid working arrangement"
data-analyst,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",Tangerang Selatan,https://id.jobstreet.com/id/job/92203151?type=standard&ref=search-standalone&origin=cardTitle#sol=d328f8d16fd56c0e8b3fd8f9cd753cc1e0689d22,"Company Description :
We are one of the top 10 biggest banks in terms of assets in Indonesia and listed in the Indonesia Stock Exchange. Permata Bank is a KBMI 3 with a strong core capital of nearly 50 trillion rupiahs. We believe that our employees are our greatest asset, and we are deeply committed to creating an environment where they can Learn, Grow, and Make a difference. This commitment is reflected in the recognition we've received-HR Excellent Award 2024 in the Learning Development and Knowledge Management categories. In addition, we achieve a net profit of over 2 trillions rupiahs in 2024, further solidifying our position as a leading financial institution.
Why PermataBank ?
Here at PermataBank, you will Learn, Grow, and Make A Difference,
You will have the appetite and the ability to learn many things, challenged to grow beyond ways you can imagine, and see the incredible difference you would have made along the journey.
This is our platform for you. We cannot promise a smooth ride, but rest assured, it is going to be a meaningful journey!
Learn : We always think innovatively to improve the way we work, making it easier, better and faster.
Grow : We provide excellent service to customers and encourage excellent performance in our daily work.
Make a difference : We understand each other and together build strong relationships with internal and external parties based on mutual respect.
Key Responsibilities
Lead and grow the data engineering team
Design and manage scalable data pipelines (ETL/ELT)
Oversee data warehouse and data lake platforms
Ensure data quality, reliability, and performance
Implement data governance, lineage, and security
Collaborate with BI, Analytics, IT, and business teams
Requirements
5+ years of experience in data engineering / data platforms
Proven experience managing large-scale data environments (banking is a plus)
Strong knowledge of ETL/ELT tools (Informatica, Talend, DataStage, Airflow)
Solid experience with SQL Server, Oracle, and data warehousing
Familiar with big data technologies, Git, and CI/CD
Strong leadership, communication, and problem-solving skills
Directorates :
Technology
PT Bank Permata Tbk hereby informs that the company does not impose any charges in the employee recruitment process."
data-analyst,Trading Analyst Spesialist,PT Sumber Jaya Industri Oleo,Pademangan,https://id.jobstreet.com/id/job/92204585?type=standard&ref=search-standalone&origin=cardTitle#sol=fc3ce036379026fd85039d024f9eb0a5b3f1d077,"Kualifikasi
- Memahami Market Research, Data Analyst & Modeling, Trading Support, Reporting untuk Perusahaan Minyak Kelapa Sawit
-Pengalaman kerja minimal 3-5 tahun dibidang yang sama
-Memahami Proses Bisnis Perusahan Minyak Kelapa Sawit
-Dapat berbahasa inggris aktive
-Interpersonal Skill, Good Attitude dan Good Personality
-Kompetensi ; Kuat Dalam Analisa, Betoritensasi terhadap detail"
data-analyst,Data Analyst,Pennyu Group,Semarang,https://id.jobstreet.com/id/job/92089967?type=standard&ref=search-standalone&origin=cardTitle#sol=24e501f6d1e5c6ad850bca49e4ee023bcb3d9225,"PT Vasa, a management consulting firm based in Semarang supporting the Pennyu Group (water solutions industry), is looking for a Data Analytics professional who can turn numbers into decisions.
This role is not for passive report makers — you will become the analytical first contact for multiple client companies. You will work closely with business users, management, and technical teams to develop dashboards, automate reporting, interpret business needs, and provide insights that support operational and strategic decisions.
Minimum Qualifications :
Bachelor’s degree in Information Systems, Statistics, Mathematics, Computer Science, Business Analytics, or related fields.
Minimum 1–2 years experience in Data Analyst, Business Intelligence, Reporting Analyst, or similar roles (Fresh graduates with strong portfolio are welcome to apply).
Familiar with SQL for data querying and validation.
Experience using BI/visualization tools such as Tableau, Power BI, or Looker Studio.
Able to process, clean, and validate data from multiple sources.
Comfortable working with spreadsheets (Google Sheets / Excel) for reporting and analysis.
Understand basic business KPIs (sales, operational, financial, profitability).
Job Description :
Build and maintain monitoring dashboards for client CV/PT companies (revenue, profit, operational KPIs)
Present sales, operational, and financial data accurately and objectively
Create data visualizations for Monthly Service Reports and COO Monthly Reports
Develop automated and scheduled reports to improve reporting efficiency
Provide proactive data-driven insights and recommendations, not just reports
Translate vague or unstructured business requests into clear analytical briefs
Perform data quality checks before reports and dashboards are published
Train internal users on how to read, interpret, and use dashboards effectively
Collaborate with Data Engineers regarding data requirements and dataset structure
Optimize the use of AI tools (Claude, ChatGPT, Gemini, etc.) as part of daily analytical workflows
Preferred Qualifications (nice to have) :
Experience working with ERP data (Odoo is a plus).
Familiarity with Python or automation scripting is a plus.
Experience supporting management or executive-level reporting."
data-analyst,Business Analyst,PT Mitra Andal Sejati,Jakarta Raya,https://id.jobstreet.com/id/job/92087049?type=standard&ref=search-standalone&origin=cardTitle#sol=ddf1ba55daed14a402089b844d44ebe4d585ee4f,"JOB DESCRIPTION :
Data Planning & Processing
Membuat & menyederhanakan kerangka database dan query untuk laporan.
Melakukan proses laporan rutin harian, mingguan, & bulanan dalam MS Excel & Google Spreadsheet
Melakukan evaluasi dari data konsumen sesuai dengan kriteria yang diberikan
Melakukan proses evaluasi terhadap bisnis proses yang terjadi, sehingga bisa lebih efektif dan efisien
Memimpin team dalam melakukan proses data laporan rutin
Analisa Data
Membuat analisa strategis dari laporan terkait data customer, sellout, & data retail lainnya.
Memberikan advice / rekomendasi progressif yang berbasis data kepada management
Menyajikan data laporan & rekomendasi dalam bentuk yang mudah dibaca
Presentasi Analisa
Melakukan presentasi kepada semua stakeholder & client terkait analisa & rekomendasi
QUALIFICATION :
Basic Qualification
Pendidikan minimal S1 khusus jurusan Teknik Informatika/Matematika/Manajemen atau sejenisnya
Minimal pengalaman 5 tahun di bidang analisis data, khususnya CRM, Survey / Research, & Perusahaan Alihdaya
Hard Skills Requirements
Menguasai database dan query (minimal SQL atau lainnya)
Memahami dasar-dasar bahasa pemprograman
Menguasai analytical program (Google Data Studio, Tableau, atau lainnya)
Menguasai Microsoft Office (terutama excel; fungsi macro dalam excel dan powerpoint)
Menguasai Google Workspace (Google Spreadsheet, Google Slides, etc)
Soft Skills Requirements
Memiliki Business Mindset yang baik
Memiliki Khazanah pengetahuan proses bisnis dunia retail yang luas & menyeluruh
Mampu berfikir kritis & detail
Mempunyai leadership yang kuat, thinking yang analistis dan kemampuan me-maintain hubungan yang baik dengan klient
Memiliki skill komunikasi presentasi yang baik dan mampu bekerja dalam tekanan"
data-analyst,Strategic Planning & Management System,PT. KALVENTIS SINERGI FARMA (A Kalbe Company),Jakarta Raya,https://id.jobstreet.com/id/job/91890075?type=standard&ref=search-standalone&origin=cardTitle#sol=66676419c7fb3a4a69bc240d5d0ac997896e7704,"Job Descriptions:
Lead and orchestrate
the end-to-end Long-Term Development Plan (LTDP) and annual budgeting cycle, ensuring alignment with corporate objectives and financial targets.
Translate enterprise strategy into execution
by developing and cascading Key Performance Indicators (KPIs) using the
Balanced Scorecard
framework (financial, customer, internal process, and learning & growth perspectives).
Drive performance management
through rigorous analysis of business metrics, identifying gaps, trends, and risks, and formulating data-driven recommendations for continuous improvement.
Facilitate cross-functional alignment
by partnering with business units to ensure strategic initiatives are effectively implemented and tracked against agreed milestones.
Develop high-impact management reports
and strategic review materials, providing clear insights and decision support to senior leadership.
Job Requirements:
Bachelor’s degree in Science or a related field (e.g., Pharmacy, Industrial Engineering, Management/Business, Finance).
Strong analytical thinking and problem-solving skills.
Excellent communication and facilitation skills, with strong attention to detail.
Proficient in English is preferred.
Able to work cross-functionally and manage multiple stakeholders."
data-analyst,Business Analyst,Pengiklan Anonim,Jakarta Barat,https://id.jobstreet.com/id/job/92147606?type=standard&ref=search-standalone&origin=cardTitle#sol=c5cf2d6cc70222aaa6c98eed66205e7e6602b8cb,"Job Description:
Revenue & Performance Analysis:
Analyze key metrics such as Occupancy, Average Daily Rate (ADR), Revenue Per Available Room (RevPAR), and Gross Operating Profit Per Available Room (GOPPAR) to drive profitability.
Data Reporting & Dashboards:
Consolidate data from Property Management Systems (PMS) to create daily, weekly, and monthly reports and dashboards using tools like Power BI, Tableau, or Excel.
Forecasting & Demand Modeling:
Develop, monitor, and update revenue forecasts and analyze market trends to assist with pricing and inventory strategy.
Market Intelligence:
Conduct market research to understand competitors, demand trends, and identify revenue opportunities or ""leakage"".
Operational Optimization:
Identify operational inefficiencies and recommend improvements that reduce costs or enhance guest experience.
Strategic Support:
Prepare presentations and insights for senior leadership regarding hotel portfolio performance.
Job Specification:
Bachelor’s degree in Data Analytics, Statistics, Finance, Hospitality Management, or related field.
Have 1–5 years of experience in hospitality analytics, revenue management, or financial analysis.
Advanced proficiency in Microsoft Excel is essential (pivot tables, VLOOKUP, modeling).
Familiarity with SQL, Tableau, Power BI, or PMS systems (e.g., Opera) is highly preferred.
Strong ability to convert complex data sets into actionable business insights.
Excellent verbal and written skills for presenting findings to stakeholders."
data-analyst,Specialist AI Data Governance,"PT Bank Permata, Tbk",Tangerang Selatan,https://id.jobstreet.com/id/job/92202969?type=standard&ref=search-standalone&origin=cardTitle#sol=c7de441367474fa0eda8e87ece1140f4b1eab1c6,"Company Description :
We are one of the top 10 biggest banks in terms of assets in Indonesia and listed in the Indonesia Stock Exchange. Permata Bank is a KBMI 3 with a strong core capital of nearly 50 trillion rupiahs. We believe that our employees are our greatest asset, and we are deeply committed to creating an environment where they can Learn, Grow, and Make a difference. This commitment is reflected in the recognition we've received-HR Excellent Award 2024 in the Learning Development and Knowledge Management categories. In addition, we achieve a net profit of over 2 trillions rupiahs in 2024, further solidifying our position as a leading financial institution.
Why PermataBank ?
Here at PermataBank, you will Learn, Grow, and Make A Difference,
You will have the appetite and the ability to learn many things, challenged to grow beyond ways you can imagine, and see the incredible difference you would have made along the journey.
This is our platform for you. We cannot promise a smooth ride, but rest assured, it is going to be a meaningful journey!
Learn : We always think innovatively to improve the way we work, making it easier, better and faster.
Grow : We provide excellent service to customers and encourage excellent performance in our daily work.
Make a difference : We understand each other and together build strong relationships with internal and external parties based on mutual respect.
Job Description:
Establish and enforce data policy frameworks and standards to ensure data quality, consistency, and security across the organization.
Ensure each business unit has access to valid, reliable, and trusted data.
Define and maintain clear data ownership across all data domains.
Monitor and improve data quality and governance practices continuously.
Mitigate legal and compliance risks by ensuring adherence to applicable data protection regulations.
Job Requirement:
Bachelor’s degree in Information System, Computer Science, or related field
3 years of experience in Data Governance, IT Governance, Compliance, or Risk Management, with specific experience in AI/ML/Gen AI projects.
Strong understanding of relationship between business process, architecture, control, risk , compliance and data technology.
Strong problem-solving, organizational, and interpersonal skills are crucial for collaborating with various business stakeholders
Familiar with modern enterprise data platforms and governance tools.
Experience in banking/financial services is highly preferred.
Directorates:
Technology
PT Bank Permata Tbk hereby informs that the company does not impose any charges in the employee recruitment process."
data-analyst,Sales Performance and Strategy Analyst Staff,PT Praja Sakti Propertindo,Jakarta Selatan,https://id.jobstreet.com/id/job/91717963?type=standard&ref=search-standalone&origin=cardTitle#sol=097e7e640082ac7b337a5c72a68d9d2db515fa79,"Sales Performance and Strategy Analyst
Business Development / Strategy Office
Ringkasan Peran
Posisi ini berperan mendukung BOD / top management dalam memonitor dan meningkatkan efektivitas organisasi sales melalui analisis performa, proses kerja, dan kebutuhan pengembangan tim. Peran ini tidak hanya menyajikan laporan, tetapi mengubah data penjualan, funnel, aktivitas lapangan, dan efektivitas channel menjadi insight serta rekomendasi yang dapat ditindaklanjuti. Sales Performance and Strategy Analyst juga menjadi penghubung lintas fungsi untuk membantu memastikan hambatan yang memengaruhi pencapaian target penjualan dapat teridentifikasi lebih cepat dan ditangani dengan disiplin.
Informasi Posisi
Report To : BOD / Head Of Strategy
Departemen : Business Development / Strategy Office
Kolaborasi Utama : Sales, Marcomm, Business Operation, Finance, Legal, Teknik, HR dan manajemen terkait
Ruang Lingkup Kerja / Job Description
Memonitor performa organisasi sales secara menyeluruh, baik pada level individu, tim, pipeline, maupun channel penjualan.
Menganalisis data penjualan, conversion funnel, aktivitas lapangan, dan KPI utama lainnya untuk mengidentifikasi tren, bottleneck, risiko, dan peluang perbaikan.
Menyusun dashboard, laporan, dan management review yang memberikan gambaran jelas bagi BOD / top management dalam mengambil keputusan.
Mengidentifikasi gap performa antar individu dan tim, termasuk area yang memerlukan penguatan dari sisi proses kerja, disiplin eksekusi, maupun kapabilitas.
Memberikan masukan terkait kebutuhan training, coaching, dan pengembangan kapabilitas tim sales berdasarkan data performa dan temuan lapangan.
Mengevaluasi efektivitas channel, aktivitas marketing, dan sumber lead terhadap kualitas pipeline, conversion, dan hasil penjualan.
Menjadi penghubung antara tim sales dan fungsi pendukung seperti Business Operation, Finance, Legal, Teknik, Marcomm, dan HR untuk memastikan kebutuhan operasional penjualan ditindaklanjuti secara cepat dan tepat.
Mengawal penyelesaian hambatan lintas fungsi yang memengaruhi kelancaran proses penjualan, termasuk kebutuhan data, materi, dokumen, maupun dukungan proses internal.
Memantau pelaksanaan action plan hasil review performa agar tindak lanjut berjalan disiplin, terukur, dan tepat waktu.
Mendukung standarisasi pelaporan, kualitas data, dan sistem monitoring agar evaluasi organisasi sales menjadi lebih konsisten, objektif, dan action-oriented.
Kualifikasi :
Pendidikan & Pengalaman
Minimal S1 dari jurusan Manajemen, Administrasi Bisnis, Teknik Industri, Statistik, Ekonomi, atau bidang terkait.
Pengalaman 2–5 tahun di bidang sales analytics, business performance, PMO, business analyst, commercial operations, atau fungsi serupa.
Pengalaman di industri properti / real estate / project-based business menjadi nilai tambah.
Kemampuan Teknis
Sangat kuat dalam penggunaan Microsoft Excel / Google Sheets untuk pengolahan dan analisis data.
Mampu menyusun presentasi, dashboard, dan executive summary yang ringkas, jelas, dan mudah dipahami manajemen.
Memahami KPI sales, conversion funnel, lead management, dan metrik performa organisasi penjualan.
Familiar dengan tools dashboard / BI seperti Power BI, Tableau, atau Looker Studio; SQL menjadi nilai tambah.
Kompetensi Personal
Analitis, proaktif, dan mampu mengubah data menjadi insight serta rekomendasi yang dapat ditindaklanjuti.
Percaya diri dan objektif dalam men-challenge temuan maupun asumsi, dengan tetap menjaga komunikasi profesional.
Mampu bekerja lintas fungsi, mengawal tindak lanjut, dan menjaga disiplin eksekusi dalam lingkungan kerja yang dinamis.
Teliti, terstruktur, serta mampu menangani banyak prioritas tanpa kehilangan kualitas kerja."
data-analyst,Data Protection Officer,PT PERMODALAN NASIONAL MADANI,Jakarta Selatan,https://id.jobstreet.com/id/job/91780910?type=standard&ref=search-standalone&origin=cardTitle#sol=fbfb25abe0127dead29e6488bc9e9b92aedb4105,"Kualifikasi:
Pendidikan minimal S1 di bidang Hukum, Teknologi Informasi, Sistem Informasi, Keamanan Informasi, atau bidang relevan
Memahami regulasi perlindungan data pribadi (termasuk UU No. 27 Tahun 2022 & peraturan pelaksanaannya)
Memiliki pemahaman terkait ISO/IEC 27701
Pengalaman kerja minimal 1 tahun di bidang terkait
Kemampuan analisis dan problem-solving yang baik
Mampu bekerja mandiri maupun kolaboratif dalam tim
Teliti, disiplin, dan menjunjung tinggi integritas serta kerahasiaan informasi.
Menguasai Microsoft Office dan sistem manajemen dokumen, pemahaman dasar terkait enkripsi atau software keamanan menjadi nilai tambah
Memiliki pengetahuan dasar terkait keamanan sistem informasi dan praktik terbaik untuk pelindungan data
Mampu membuat dokumentasi kebijakan, prosedur, dan formulir persetujuan pemrosesan data
Memahami proses audit internal terkait pengelolaan data pribadi dan penerapan kebijakan kepatuhan
Job Deskripsi :
Memastikan kepatuhan perusahaan terhadap Undang-Undang No. 27 Tahun 2022 tentang Perlindungan Data Pribadi dan regulasi terkait.
Menyusun dan mengelola kebijakan, SOP, serta dokumentasi perlindungan data pribadi.
Mendukung implementasi standar seperti ISO/IEC 27701.
Mengidentifikasi dan memitigasi risiko terkait keamanan dan pengelolaan data pribadi.
Melaksanakan audit internal dan memastikan tindak lanjut hasil audit.
Menangani dan melaporkan insiden kebocoran data.
Memberikan edukasi dan sosialisasi terkait perlindungan data kepada karyawan.
Berkoordinasi dengan tim internal terkait (Legal, IT, dan Operasional) untuk memastikan kepatuhan dan keamanan data."
data-analyst,Business Finance Analyst,PT. DFI RETAIL NUSANTARA TBK,Tangerang Selatan,https://id.jobstreet.com/id/job/91642469?type=standard&ref=search-standalone&origin=cardTitle#sol=c98fd87ff4d35062f3348e5aea289c3079cfa19b,"Partner dengan tim Commercial (Merchandising/Buying) untuk mendukung keputusan bisnis berbasis data
Menyusun annual budget, forecast, dan melakukan variance analysis beserta insight-nya
Memberikan analisis profitabilitas (margin, cost, efficiency) untuk mendorong peningkatan kinerja bisnis
Mengembangkan financial model dan analisis berbasis data (financial & non-financial)
Mengidentifikasi risiko dan peluang bisnis melalui rolling forecast
Menyusun business case untuk inisiatif baru / investment
Menghasilkan insight dan rekomendasi strategis untuk meningkatkan revenue dan profitability
Berkolaborasi dengan stakeholder non-finance untuk memastikan alignment terhadap target bisnis
Mendorong improvement pada reporting tools, dashboard, dan sistem analitik"
data-analyst,Business Analyst (6 Months Contract),"PT Japfa Comfeed Indonesia, Tbk",Jakarta Selatan,https://id.jobstreet.com/id/job/91763108?type=standard&ref=search-standalone&origin=cardTitle#sol=34e9b34bcec32445c1b6e60b2da26be46ee5dce9,"Key Accountabilities
Liaises with clients to understand the business issues, processes and organization requirements.
Assists to prepare and review the business processes, requirement and functional specifications based on the proposed solutions to prepare appropriate test cases
Leads the testing effort and take ownership of the documentation of all QA process and results
Conduct in-depth analysis to understand and deconstruct complex issues.
Reports, tracks and monitor any issues raised by clients and ensure the issues are resolved in a timely manner.
Communicates closely with client and manage the client expectations and deliverables.
Works closely with the technical team and project manager to ensure successful delivery of the projects according to the schedule.
Qualifications
Bachelor’s degree in Information Technology, Information System, Teknologi Informasi
Experience as a Project Business Analyst
Strong communication skills and ability to convey complex information to non-technical stakeholders.
Detail-oriented with a passion for uncovering actionable insights.
Proficiency in English is a must.
Proficiency in data analysis tools (e.g., SQL, Excel, Tableau)"
data-analyst,Data Analyst Staff,PT Asuransi Umum Bumiputera Muda 1967,Jakarta Raya,https://id.jobstreet.com/id/job/91806673?type=standard&ref=search-standalone&origin=cardTitle#sol=d00fbf5afbe9573b7aeffc84eea1d2f828c74d16,"Deskripsi Pekerjaan:
Melakukan analisa data & membuat laporan terkait analisa tersebut
Membuat surat menyurat terkait bidang tugasnya
Mengarsipkan data-data laporan dan dokumen
Merapihkan administrasi dokumen baik soft maupun hardfile
Melakukan pengecekan rutin terkait akurasi dan ketepatan entry data dan hasil dari laporan
Menjaga kerahasiaan dokumen-dokumen perusahaan
Membuat catatan kekurangan / kelengkapan dan dokumen ke cabang
Melakukan pekerjaan terkait bidang keuangan (rekonsiliasi bank, monitoring outstanding) untuk staf keuangan
Melakukan penempatan portofolio investasi untuk staf keuangan / investasi
Melakukan filing
Dan lain-lain terkait bidang data analis & administrasi
Kualifikasi:
Minimal pendidikan S1 semua jurusan
Prodi asuransi manajemen lebih diutamakan untuk posisi junior underwriting dan pemasaran
Prodi akuntansi/manajemen lebih diutamakan untuk posisi keuangan / investasi
Memiliki brevet A&B / pernah mengikuti pelatihan terkait investasi pasar modal (lebih diutamakan untuk posisi staf keuangan)
Menguasai bahasa inggris secara aktif akan menjadi nilai tambah
Fresh graduate dipersilahkan melamar
IPK > 2,75
Mengusai microsoft office dengan baik (terutama excel)
Mempunyai pengalaman pada bidang asuransi akan menjadi nilai tambah
Siap ditempatkan di Jakarta"
data-analyst,Data Analyst Specialist (Marketing),PT RANS Kosmetika Indonesia,Jakarta Utara,https://id.jobstreet.com/id/job/91946035?type=standard&ref=search-standalone&origin=cardTitle#sol=0ae25719a8415fb99f4f4d058b7508ce518e5b90,"Key Responsibilities
• Collect, clean, and consolidate data from multiple sources (KOL campaigns, affiliate platforms, paid advertising, TikTok, Meta, social media, and content performance)
• Develop and maintain insightful dashboards and automated reports to support business and marketing decisions
• Perform in-depth analysis to identify trends, measure performance, and generate recommendations for optimization
• Collaborate with marketing, content, and business teams to translate data findings into strategic actions
• Ensure accuracy, consistency, and reliability of data across all reporting systems
• Build and optimize processes for data integration and visualization
Requirements
• Bachelor’s degree in Mathematics, Statistics, Economics, Business, Computer Science, or a related field
• Minimum 2–3 years of experience in data analysis, data analytics, or business intelligence
• Strong proficiency in Microsoft Excel (pivot tables, advanced formulas, data modeling)
• Experience with data visualization tools (Looker, Tableau, Power BI, or equivalent)
• Strong analytical, critical thinking, and problem-solving skills
• Ability to merge and analyze datasets from multiple sources to create clear, actionable insights
• Excellent communication skills to present findings to both technical and non-technical stakeholders
• Detail-oriented, highly organized, and comfortable working with large datasets"
data-analyst,IT System Analyst,Moya Holdings Asia Limited,Jakarta Raya,https://id.jobstreet.com/id/job/92143715?type=standard&ref=search-standalone&origin=cardTitle#sol=04bc9a707e14e4c2ae3284b547c016c4477408e3,"Menguasai bahasa pemrograman seperti React JS, HTML/JavaScript, Node JS, Vue JS, Java, dan PHP, serta memahami pengelolaan database seperti SQL Server, PostgreSQL, dan MySQL.
Memiliki kemampuan menganalisa kebutuhan user, membuat flow sistem dan logika pemrograman, serta memahami implementasi REST API/Web Service dengan format JSON/XML.
Berpengalaman dalam pengembangan aplikasi berbasis web dan memahami proses Software Development Life Cycle (SDLC).
Memiliki pengetahuan infrastruktur IT seperti server, storage, jaringan LAN/WAN, keamanan jaringan, serta mampu melakukan instalasi dan troubleshooting perangkat jaringan seperti switch, router, firewall, komputer, laptop, dan printer."
data-analyst,Data Analyst Supervisor,Thamrin Group,Palembang,https://id.jobstreet.com/id/job/91934650?type=standard&ref=search-standalone&origin=cardTitle#sol=3649eebd35168fa1efdfb34a4b3f45a369abacfa,"About the Challenge
Do you have what it takes to turn data into actionable insights and lead a team to support business decision-making?
As a
Data Analyst Supervisor
, you will be responsible for ensuring the availability, accuracy, and usability of data across the organization—while transforming data into insights that drive performance improvement.
This role requires strong analytical thinking, structured problem-solving, and the ability to translate business needs into data-driven solutions. If you are someone who can go beyond reporting and influence decisions through data, this role will challenge you to operate at a higher level.
Requirements
Minimum Bachelor’s degree (S1) in Statistics, Mathematics, Computer Science, or related field
Minimum 3–5 years of experience in data analysis, reporting, or business intelligence
Strong proficiency in SQL, Excel, and data visualization tools (Tableau/Power BI)
Experience in managing data workflows and leading a small team is preferred
Strong analytical thinking, attention to detail, and business understanding
Responsibilities
Ensure data accuracy, consistency, and availability across reporting and dashboard systems
Develop and maintain dashboards and reports to support business monitoring and decision-making
Translate business requirements into data analysis and actionable insights
Lead and manage data analyst team to ensure timely and accurate delivery of outputs
Identify data gaps and drive improvements in data processes, structure, and usage"
data-analyst,Digital Transformation & System Solution Head,PT Propan Raya Industrial Coating Chemicals,Tangerang,https://id.jobstreet.com/id/job/92159726?type=standard&ref=search-standalone&origin=cardTitle#sol=bad512dae6f8c4f1d139ef08b30eb08f9a0e4ca4,"Job Description:
• Lead the planning and execution of strategic digitalization initiatives from discovery to go-live.
• Design and maintain enterprise architecture blueprints that are modern, interoperable, and future-oriented.
• Build integrated systems leveraging data warehouses, analytics, and AI to support business decision-making and process automation.
• Establish standards for System Design, QA, Data, and AI as the foundation of digital transformation, ensuring compliance with audits, regulations, and best engineering practices.
• Develop team capabilities through coaching, upskilling, and continuous improvement programs.
• Act as a strategic liaison with stakeholders, ensuring adoption, alignment, and measurable contributions to revenue growth and cost efficiency.
Qualifications:
• Bachelor’s degree in Computer Science or related field.
• More than 7 years of professional experience in handling enterprise system architecture, including design, integration, and management of large-scale systems.
• At least 3 years of proven experience in leveraging AI platforms & tools (e.g., Claude, ChatGPT, n8n.io, LLM, etc.) to accelerate workflows, enhance productivity, and support new system development.
• Proven experience in leading application system development teams and managing digital transformation projects.
• Background as a software developer is considered a strong plus, demonstrating deep understanding of system development processes.
• Strong leadership, strategic communication, and a track record of guiding teams to deliver IT solutions with measurable business impact."
data-analyst,Reward Analyst,OLX Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92064404?type=standard&ref=search-standalone&origin=cardTitle#sol=559f7ebc6e27a8d22fbb3593efb4910cb1ee5dac,"Menjaga kelengkapan, keakuratan, dan kualitas database karyawan.
Memonitor manpower movement secara berkala.
Mengelola dan menyimpan file dan dokumen seluruh karyawan perusahaan.
Mengelola administrasi HR Operasional seperti dokumen, invoice, dsb.
Menganalisa data dan membuat laporan baik untuk internal HC maupun manajemen.
Bertanggung jawab sebagai PIC dalam mengimplementasikan HRIS end- to-end mulai dari proses administrasi, hubungan B2B dengan vendor, implementasi, hingga memberikan bantuan kepada karyawan terkait HRIS.
Melakukan budgeting employee cost dan operational expenses, serta memonitor penggunaannya.
Menganalisa dan melakukan benchmarking skema compensation & benefit agar tetap kompetitif dan selaras dengan strategi perusahaan.
Bekerjasama dengan Astra International dalam melakukan salary survey terkait dengan employee benefit.
Berkoordinasi dengan cross function terkait pembuatan skema benefit.
Memastikan compliance of rewards terhadap undang-undang ketenagakerjaan.
Melakukan sosialisasi mengenai kebijakan dan SK yang berkaitan dengan availability data analisa dan review benefit compensation yang berlaku.
Mengelola kegiatan employee well being"
data-analyst,Product Development & Individual Pricing L&H Staff (Actuary),PT Reasuransi Indonesia Utama (Persero),Jakarta Pusat,https://id.jobstreet.com/id/job/92081970?type=standard&ref=search-standalone&origin=cardTitle#sol=5b03fbf03bf523d7491a675d97155044ba9215f5,"Job Responsibilities:
Identify market trends to support the development of new insurance products.
Determine optimal premium rates for each insurance product.
Develop and update actuarial assumptions for pricing purposes.
Coordinate with relevant teams to ensure smooth product implementation.
Prepare Standard Operating Procedures (SOP) and Guidelines for product development and pricing.
Job Qualification:
Bachelor’s Degree (S1) minimum
Preferred majors: Actuarial Science, Mathematics, or Statistics
⁠Proficient in Microsoft Excel (prior experience preferred) and Phyton and R Studio
⁠Skilled in Microsoft Office tools (Word, PowerPoint, etc.)
⁠Detail-oriented, proactive, and eager to learn
Possession of insurance industry certifications such as: PAI or AAMAI is an advatange"
